time,o,h,l,c,v,oi
2026-01-28 09:00:00,25258.85,25258.85,25258.85,25258.85,0,0
2026-01-28 09:15:00,25258.85,25372.1,25225.7,25352.75,0,0
2026-01-28 09:30:00,25352.1,25363.9,25286.5,25293.0,0,0
2026-01-28 09:45:00,25292.95,25304.65,25272.7,25303.7,0,0
2026-01-28 10:00:00,25304.7,25316.4,25232.7,25248.1,0,0
2026-01-28 10:15:00,25248.3,25281.6,25235.6,25246.5,0,0
2026-01-28 10:30:00,25246.85,25302.2,25234.05,25281.7,0,0
2026-01-28 10:45:00,25282.2,25307.35,25267.35,25298.75,0,0
2026-01-28 11:00:00,25299.85,25330.6,25288.85,25325.6,0,0
2026-01-28 11:15:00,25325.35,25351.05,25313.3,25336.95,0,0
2026-01-28 11:30:00,25337.4,25343.95,25292.3,25292.5,0,0
2026-01-28 11:45:00,25292.8,25322.45,25290.65,25321.8,0,0
2026-01-28 12:00:00,25320.85,25339.5,25306.95,25313.8,0,0
2026-01-28 12:15:00,25313.8,25318.05,25269.0,25271.8,0,0
2026-01-28 12:30:00,25272.0,25286.2,25258.95,25275.35,0,0
2026-01-28 12:45:00,25275.6,25281.05,25257.05,25258.1,0,0
2026-01-28 13:00:00,25258.1,25279.7,25252.05,25276.25,0,0
2026-01-28 13:15:00,25276.6,25291.3,25213.55,25238.65,0,0
2026-01-28 13:30:00,25238.35,25251.5,25207.0,25208.35,0,0
2026-01-28 13:45:00,25207.35,25234.2,25187.65,25231.3,0,0
2026-01-28 14:00:00,25232.25,25242.8,25205.15,25209.05,0,0
2026-01-28 14:15:00,25208.65,25239.6,25201.1,25235.15,0,0
2026-01-28 14:30:00,25235.15,25253.2,25218.95,25251.55,0,0
2026-01-28 14:45:00,25252.05,25329.05,25251.2,25320.7,0,0
2026-01-28 15:00:00,25320.8,25344.5,25320.8,25329.65,0,0
2026-01-28 15:15:00,25329.75,25358.4,25329.75,25348.05,0,0
2026-01-29 09:00:00,25345.0,25345.0,25345.0,25345.0,0,0
2026-01-29 09:15:00,25345.0,25354.85,25248.55,25272.6,0,0
2026-01-29 09:30:00,25270.7,25282.25,25207.8,25210.7,0,0
2026-01-29 09:45:00,25209.0,25238.35,25159.8,25184.85,0,0
2026-01-29 10:00:00,25185.3,25214.35,25167.05,25211.65,0,0
2026-01-29 10:15:00,25210.35,25228.85,25167.65,25194.3,0,0
2026-01-29 10:30:00,25194.3,25221.65,25175.65,25190.0,0,0
2026-01-29 10:45:00,25191.05,25240.55,25183.55,25234.0,0,0
2026-01-29 11:00:00,25234.6,25258.95,25230.1,25257.8,0,0
2026-01-29 11:15:00,25257.95,25296.9,25257.2,25278.4,0,0
2026-01-29 11:30:00,25277.4,25295.2,25249.0,25269.45,0,0
2026-01-29 11:45:00,25270.2,25274.9,25240.0,25258.8,0,0
2026-01-29 12:00:00,25259.1,25287.95,25255.65,25280.75,0,0
2026-01-29 12:15:00,25280.4,25290.15,25262.05,25284.95,0,0
2026-01-29 12:30:00,25285.85,25309.05,25281.25,25282.5,0,0
2026-01-29 12:45:00,25282.3,25340.85,25276.45,25321.8,0,0
2026-01-29 13:00:00,25322.25,25368.15,25321.0,25353.65,0,0
2026-01-29 13:15:00,25353.45,25356.4,25328.3,25336.75,0,0
2026-01-29 13:30:00,25337.15,25404.1,25333.45,25402.5,0,0
2026-01-29 13:45:00,25403.45,25431.9,25400.05,25431.9,0,0
2026-01-29 14:00:00,25430.05,25437.3,25383.65,25412.9,0,0
2026-01-29 14:15:00,25413.3,25431.0,25398.65,25430.95,0,0
2026-01-29 14:30:00,25431.15,25454.7,25430.65,25440.25,0,0
2026-01-29 14:45:00,25439.7,25458.15,25429.95,25434.8,0,0
2026-01-29 15:00:00,25436.95,25445.9,25407.6,25407.6,0,0
2026-01-29 15:15:00,25407.65,25431.65,25405.1,25422.1,0,0
2026-01-29 15:30:00,25416.65,25418.9,25416.65,25418.9,0,0
2026-01-30 09:00:00,25247.55,25247.55,25247.55,25247.55,0,0
2026-01-30 09:15:00,25247.55,25285.95,25224.35,25242.0,0,0
2026-01-30 09:30:00,25242.5,25308.8,25218.95,25292.25,0,0
2026-01-30 09:45:00,25291.75,25323.15,25274.35,25283.4,0,0
2026-01-30 10:00:00,25283.95,25315.95,25266.45,25314.3,0,0
2026-01-30 10:15:00,25315.8,25319.65,25268.95,25279.6,0,0
2026-01-30 10:30:00,25279.95,25311.6,25273.45,25302.1,0,0
2026-01-30 10:45:00,25301.05,25312.65,25284.3,25302.05,0,0
2026-01-30 11:00:00,25302.4,25309.2,25247.1,25255.45,0,0
2026-01-30 11:15:00,25255.35,25282.85,25244.0,25258.95,0,0
2026-01-30 11:30:00,25257.55,25280.35,25232.0,25272.45,0,0
2026-01-30 11:45:00,25271.85,25294.0,25256.3,25261.4,0,0
2026-01-30 12:00:00,25262.0,25294.85,25248.85,25294.7,0,0
2026-01-30 12:15:00,25293.65,25316.6,25270.6,25294.05,0,0
2026-01-30 12:30:00,25293.8,25309.85,25281.45,25293.55,0,0
2026-01-30 12:45:00,25293.7,25303.3,25285.2,25302.65,0,0
2026-01-30 13:00:00,25303.75,25306.15,25238.5,25247.05,0,0
2026-01-30 13:15:00,25247.4,25247.5,25213.65,25230.5,0,0
2026-01-30 13:30:00,25230.5,25306.5,25229.55,25301.2,0,0
2026-01-30 13:45:00,25302.05,25344.9,25284.9,25342.65,0,0
2026-01-30 14:00:00,25343.8,25370.7,25331.7,25352.45,0,0
2026-01-30 14:15:00,25353.5,25356.45,25326.35,25336.1,0,0
2026-01-30 14:30:00,25335.45,25350.3,25303.95,25311.6,0,0
2026-01-30 14:45:00,25310.15,25368.8,25302.2,25352.45,0,0
2026-01-30 15:00:00,25352.45,25354.2,25293.3,25319.7,0,0
2026-01-30 15:15:00,25321.0,25343.9,25309.6,25315.8,0,0
2026-01-30 15:30:00,25318.55,25320.65,25318.55,25320.65,0,0
2026-02-01 09:00:00,25333.75,25333.75,25333.75,25333.75,0,0
2026-02-01 09:15:00,25333.75,25338.85,25252.3,25320.4,0,0
2026-02-01 09:30:00,25319.85,25335.1,25296.7,25333.35,0,0
2026-02-01 09:45:00,25332.6,25346.85,25264.85,25321.5,0,0
2026-02-01 10:00:00,25321.95,25352.25,25316.2,25351.0,0,0
2026-02-01 10:15:00,25350.9,25376.4,25338.6,25368.25,0,0
2026-02-01 10:30:00,25369.3,25387.55,25354.85,25371.3,0,0
2026-02-01 10:45:00,25370.7,25385.8,25359.7,25383.0,0,0
2026-02-01 11:00:00,25383.75,25440.9,25348.9,25411.0,0,0
2026-02-01 11:15:00,25410.1,25412.35,25356.25,25386.4,0,0
2026-02-01 11:30:00,25385.9,25402.15,25302.0,25311.55,0,0
2026-02-01 11:45:00,25311.45,25328.9,25268.0,25279.85,0,0
2026-02-01 12:00:00,25279.6,25385.95,25203.4,25223.55,0,0
2026-02-01 12:15:00,25226.75,25244.8,24906.25,24906.25,0,0
2026-02-01 12:30:00,24902.7,25058.7,24571.75,25013.15,0,0
2026-02-01 12:45:00,25005.4,25096.5,24949.15,25075.9,0,0
2026-02-01 13:00:00,25074.15,25141.9,25055.75,25119.95,0,0
2026-02-01 13:15:00,25121.15,25148.95,25066.9,25066.9,0,0
2026-02-01 13:30:00,25065.6,25101.7,25031.1,25077.1,0,0
2026-02-01 13:45:00,25078.0,25095.3,24985.3,25048.95,0,0
2026-02-01 14:00:00,25047.1,25063.85,24983.55,25011.75,0,0
2026-02-01 14:15:00,25012.3,25053.8,24991.3,25039.1,0,0
2026-02-01 14:30:00,25038.45,25091.55,25026.9,25035.05,0,0
2026-02-01 14:45:00,25033.7,25052.0,24912.45,24923.85,0,0
2026-02-01 15:00:00,24923.9,24954.25,24847.45,24850.15,0,0
2026-02-01 15:15:00,24849.4,24850.55,24721.0,24768.0,0,0
2026-02-02 09:00:00,24796.5,24796.5,24796.5,24796.5,0,0
2026-02-02 09:15:00,24796.5,24884.7,24726.85,24849.05,0,0
2026-02-02 09:30:00,24851.35,24918.55,24843.85,24865.05,0,0
2026-02-02 09:45:00,24867.1,24942.95,24850.45,24863.3,0,0
2026-02-02 10:00:00,24862.9,24865.9,24795.7,24826.15,0,0
2026-02-02 10:15:00,24825.5,24850.6,24799.9,24826.4,0,0
2026-02-02 10:30:00,24826.0,24873.65,24825.65,24847.1,0,0
2026-02-02 10:45:00,24846.9,24864.35,24769.15,24773.45,0,0
2026-02-02 11:00:00,24773.0,24773.0,24702.0,24728.35,0,0
2026-02-02 11:15:00,24728.45,24733.9,24679.4,24726.25,0,0
2026-02-02 11:30:00,24724.3,24869.7,24722.05,24868.3,0,0
2026-02-02 11:45:00,24868.4,24879.95,24850.5,24874.3,0,0
2026-02-02 12:00:00,24874.05,24914.05,24852.7,24910.65,0,0
2026-02-02 12:15:00,24910.45,24927.3,24879.45,24897.25,0,0
2026-02-02 12:30:00,24896.95,24897.65,24861.95,24870.9,0,0
2026-02-02 12:45:00,24870.85,24944.5,24865.05,24938.2,0,0
2026-02-02 13:00:00,24938.55,24963.3,24930.3,24934.95,0,0
2026-02-02 13:15:00,24935.2,24942.95,24851.35,24894.55,0,0
2026-02-02 13:30:00,24895.85,24972.3,24870.8,24964.2,0,0
2026-02-02 13:45:00,24963.5,24984.45,24941.7,24948.15,0,0
2026-02-02 14:00:00,24948.6,24958.75,24913.85,24943.15,0,0
2026-02-02 14:15:00,24943.2,24974.4,24921.65,24972.15,0,0
2026-02-02 14:30:00,24972.15,24983.4,24931.2,24956.3,0,0
2026-02-02 14:45:00,24955.4,25035.05,24952.85,25032.15,0,0
2026-02-02 15:00:00,25033.3,25093.3,25033.3,25086.75,0,0
2026-02-02 15:15:00,25086.45,25107.6,25069.5,25081.3,0,0
2026-02-02 15:30:00,25079.85,25088.4,25079.85,25088.4,0,0
2026-02-03 09:00:00,26308.05,26308.05,26308.05,26308.05,0,0
2026-02-03 09:15:00,26308.05,26341.2,25763.9,25786.25,0,0
2026-02-03 09:30:00,25785.3,25795.25,25720.15,25727.3,0,0
2026-02-03 09:45:00,25726.3,25793.1,25675.15,25702.6,0,0
2026-02-03 10:00:00,25703.55,25729.15,25641.3,25671.0,0,0
2026-02-03 10:15:00,25672.35,25794.7,25672.35,25771.15,0,0
2026-02-03 10:30:00,25771.55,25821.65,25763.7,25798.3,0,0
2026-02-03 10:45:00,25798.3,25804.4,25746.7,25780.1,0,0
2026-02-03 11:00:00,25780.7,25810.5,25765.5,25784.2,0,0
2026-02-03 11:15:00,25785.15,25824.05,25773.9,25815.75,0,0
2026-02-03 11:30:00,25815.9,25863.15,25805.75,25851.55,0,0
2026-02-03 11:45:00,25851.2,25855.9,25826.15,25847.85,0,0
2026-02-03 12:00:00,25849.2,25851.85,25813.15,25836.55,0,0
2026-02-03 12:15:00,25837.35,25838.6,25780.85,25786.55,0,0
2026-02-03 12:30:00,25786.25,25812.1,25767.55,25796.05,0,0
2026-02-03 12:45:00,25796.45,25805.5,25780.1,25795.6,0,0
2026-02-03 13:00:00,25795.45,25811.5,25786.4,25790.3,0,0
2026-02-03 13:15:00,25791.3,25800.45,25744.0,25771.05,0,0
2026-02-03 13:30:00,25771.7,25811.45,25729.4,25800.8,0,0
2026-02-03 13:45:00,25802.05,25811.85,25770.15,25770.35,0,0
2026-02-03 14:00:00,25770.85,25786.7,25755.6,25775.15,0,0
2026-02-03 14:15:00,25774.4,25781.55,25763.0,25768.9,0,0
2026-02-03 14:30:00,25769.05,25788.1,25740.3,25746.6,0,0
2026-02-03 14:45:00,25746.2,25790.35,25740.2,25778.05,0,0
2026-02-03 15:00:00,25778.75,25780.45,25696.85,25717.85,0,0
2026-02-03 15:15:00,25721.9,25749.45,25706.05,25714.8,0,0
2026-02-03 15:30:00,25713.3,25727.55,25713.3,25727.55,0,0
2026-02-04 09:00:00,25675.05,25675.05,25675.05,25675.05,0,0
2026-02-04 09:15:00,25675.05,25788.3,25563.95,25752.65,0,0
2026-02-04 09:30:00,25752.65,25791.2,25728.2,25788.65,0,0
2026-02-04 09:45:00,25788.05,25795.25,25748.1,25781.5,0,0
2026-02-04 10:00:00,25779.55,25801.8,25771.3,25782.3,0,0
2026-02-04 10:15:00,25782.55,25787.05,25735.95,25743.3,0,0
2026-02-04 10:30:00,25744.15,25750.35,25709.55,25740.35,0,0
2026-02-04 10:45:00,25739.0,25756.9,25729.6,25746.2,0,0
2026-02-04 11:00:00,25745.9,25760.15,25714.15,25723.95,0,0
2026-02-04 11:15:00,25724.0,25726.8,25685.95,25699.35,0,0
2026-02-04 11:30:00,25698.15,25723.9,25691.25,25717.35,0,0
2026-02-04 11:45:00,25717.05,25729.55,25695.65,25727.45,0,0
2026-02-04 12:00:00,25726.9,25742.55,25711.25,25742.55,0,0
2026-02-04 12:15:00,25741.7,25756.3,25723.6,25748.0,0,0
2026-02-04 12:30:00,25746.85,25762.95,25727.2,25738.7,0,0
2026-02-04 12:45:00,25738.6,25738.9,25701.25,25705.15,0,0
2026-02-04 13:00:00,25704.55,25740.95,25702.65,25736.75,0,0
2026-02-04 13:15:00,25735.9,25759.25,25727.85,25757.25,0,0
2026-02-04 13:30:00,25757.95,25772.7,25757.05,25771.35,0,0
2026-02-04 13:45:00,25770.2,25788.25,25761.0,25775.1,0,0
2026-02-04 14:00:00,25774.95,25791.7,25755.25,25790.9,0,0
2026-02-04 14:15:00,25789.95,25818.55,25788.35,25798.2,0,0
2026-02-04 14:30:00,25797.75,25815.7,25793.15,25809.35,0,0
2026-02-04 14:45:00,25809.7,25812.65,25779.85,25782.65,0,0
2026-02-04 15:00:00,25784.8,25812.4,25780.2,25783.1,0,0
2026-02-04 15:15:00,25783.0,25790.25,25737.5,25737.5,0,0
2026-02-05 09:00:00,25755.9,25755.9,25755.9,25755.9,0,0
2026-02-05 09:15:00,25755.9,25755.9,25666.15,25690.65,0,0
2026-02-05 09:30:00,25690.7,25729.55,25633.85,25635.15,0,0
2026-02-05 09:45:00,25635.15,25647.05,25612.9,25637.65,0,0
2026-02-05 10:00:00,25637.35,25676.7,25622.55,25672.75,0,0
2026-02-05 10:15:00,25672.5,25700.45,25657.3,25669.55,0,0
2026-02-05 10:30:00,25668.9,25670.85,25623.55,25642.65,0,0
2026-02-05 10:45:00,25642.8,25651.15,25616.0,25624.0,0,0
2026-02-05 11:00:00,25624.35,25678.25,25611.6,25673.55,0,0
2026-02-05 11:15:00,25673.65,25676.9,25639.4,25653.05,0,0
2026-02-05 11:30:00,25652.55,25680.2,25641.75,25666.3,0,0
2026-02-05 11:45:00,25666.35,25668.3,25629.65,25651.9,0,0
2026-02-05 12:00:00,25651.35,25657.7,25627.1,25629.8,0,0
2026-02-05 12:15:00,25629.7,25630.5,25611.1,25621.55,0,0
2026-02-05 12:30:00,25620.9,25634.95,25603.75,25617.45,0,0
2026-02-05 12:45:00,25617.2,25646.55,25606.75,25640.8,0,0
2026-02-05 13:00:00,25640.1,25646.45,25629.55,25636.8,0,0
2026-02-05 13:15:00,25637.45,25657.3,25611.2,25612.3,0,0
2026-02-05 13:30:00,25611.7,25643.5,25611.7,25635.9,0,0
2026-02-05 13:45:00,25635.8,25647.4,25621.05,25635.25,0,0
2026-02-05 14:00:00,25635.4,25642.0,25579.5,25596.95,0,0
2026-02-05 14:15:00,25597.45,25617.65,25589.9,25611.9,0,0
2026-02-05 14:30:00,25611.8,25640.35,25606.35,25624.05,0,0
2026-02-05 14:45:00,25624.25,25649.0,25609.05,25645.2,0,0
2026-02-05 15:00:00,25646.05,25669.75,25630.45,25647.8,0,0
2026-02-05 15:15:00,25647.75,25649.75,25621.55,25641.6,0,0
2026-02-05 15:30:00,25640.7,25643.05,25640.7,25642.8,0,0
2026-02-06 09:00:00,25605.8,25605.8,25605.8,25605.8,0,0
2026-02-06 09:15:00,25605.8,25630.8,25553.55,25574.35,0,0
2026-02-06 09:30:00,25574.6,25574.6,25522.25,25526.3,0,0
2026-02-06 09:45:00,25527.2,25570.8,25527.2,25552.35,0,0
2026-02-06 10:00:00,25552.35,25560.45,25504.6,25515.8,0,0
2026-02-06 10:15:00,25515.8,25558.8,25506.65,25506.65,0,0
2026-02-06 10:30:00,25507.1,25525.85,25496.1,25502.4,0,0
2026-02-06 10:45:00,25501.7,25524.2,25491.9,25522.5,0,0
2026-02-06 11:00:00,25522.75,25576.4,25522.75,25576.4,0,0
2026-02-06 11:15:00,25577.8,25598.2,25564.6,25588.55,0,0
2026-02-06 11:30:00,25588.5,25644.5,25582.95,25623.8,0,0
2026-02-06 11:45:00,25623.85,25641.8,25613.2,25632.25,0,0
2026-02-06 12:00:00,25631.35,25657.9,25588.45,25611.05,0,0
2026-02-06 12:15:00,25611.7,25614.35,25561.35,25573.75,0,0
2026-02-06 12:30:00,25573.25,25573.5,25536.7,25543.45,0,0
2026-02-06 12:45:00,25542.8,25570.35,25526.65,25556.7,0,0
2026-02-06 13:00:00,25556.15,25573.15,25540.2,25561.45,0,0
2026-02-06 13:15:00,25562.1,25576.65,25559.7,25569.0,0,0
2026-02-06 13:30:00,25569.4,25598.75,25549.1,25578.45,0,0
2026-02-06 13:45:00,25578.3,25626.1,25572.05,25617.6,0,0
2026-02-06 14:00:00,25617.4,25633.3,25607.15,25612.3,0,0
2026-02-06 14:15:00,25612.15,25630.65,25601.9,25610.9,0,0
2026-02-06 14:30:00,25611.1,25652.4,25606.5,25651.85,0,0
2026-02-06 14:45:00,25651.8,25671.85,25633.65,25670.3,0,0
2026-02-06 15:00:00,25672.05,25703.8,25672.05,25698.5,0,0
2026-02-06 15:15:00,25697.75,25703.25,25660.2,25673.6,0,0
2026-02-09 09:00:00,25888.7,25888.7,25888.7,25888.7,0,0
2026-02-09 09:15:00,25888.7,25922.25,25793.3,25822.9,0,0
2026-02-09 09:30:00,25822.0,25835.5,25780.9,25793.05,0,0
2026-02-09 09:45:00,25792.9,25819.25,25790.35,25814.1,0,0
2026-02-09 10:00:00,25814.8,25831.1,25796.15,25801.6,0,0
2026-02-09 10:15:00,25800.1,25829.95,25794.0,25812.8,0,0
2026-02-09 10:30:00,25812.3,25852.35,25810.1,25852.35,0,0
2026-02-09 10:45:00,25852.8,25866.4,25844.5,25864.6,0,0
2026-02-09 11:00:00,25865.2,25870.05,25853.45,25857.95,0,0
2026-02-09 11:15:00,25858.15,25868.35,25851.75,25858.4,0,0
2026-02-09 11:30:00,25858.85,25866.55,25842.0,25851.0,0,0
2026-02-09 11:45:00,25850.45,25852.3,25830.5,25834.75,0,0
2026-02-09 12:00:00,25834.3,25861.25,25833.9,25856.25,0,0
2026-02-09 12:15:00,25856.6,25861.45,25848.5,25849.3,0,0
2026-02-09 12:30:00,25850.55,25850.9,25831.55,25835.95,0,0
2026-02-09 12:45:00,25836.0,25839.8,25819.95,25837.25,0,0
2026-02-09 13:00:00,25838.4,25860.3,25835.9,25849.95,0,0
